,glnno,kalfaad,barcode,created_at,Ürün Adı,Ana Kategori,Alt Kategori 1,Alt Kategori 2,KAT,Eczane adı,Danısman X (devIr),boro,İlçe,latitude,longitude,Firma
19,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-04 11:22:16,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
20,8680001374199,Crossist,8699512820040,2022-07-07 17:22:05,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
21,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-13 15:52:55,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
22,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-18 17:07:50,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
23,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-19 12:05:10,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
24,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-20 08:52:14,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
25,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-21 17:44:20,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
26,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-26 11:39:16,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
27,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-27 22:54:59,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
28,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-07-29 14:48:30,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
29,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-01 18:56:20,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
30,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-03 10:51:39,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
31,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-03 14:47:06,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
32,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-09 12:14:29,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
33,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-11 11:32:41,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
34,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-13 18:47:05,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
35,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-18 17:41:11,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
36,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-19 12:31:46,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
37,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-08-19 14:37:29,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
38,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-05 14:33:25,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
39,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-05 15:47:45,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
40,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-06 18:13:39,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
41,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-08 18:16:30,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
